# fen	move_played	grade	source
B:W21,24,28,29,33,36,37,38,40,42,43,44,45,48,49:B2,4,6,7,8,9,10,12,13,14,15,17,18,25,26	17-22	!	deel15:p25
W:W15,26,35,37,42,43,45,46,47,48,49:B2,4,6,7,8,9,11,12,13,19,27,28,34	37-31	!	deel15:p25
W:W23,28,33,36,38,40,42,46,48:B2,4,10,12,15,16,21,24,27	46-41	?	deel15:p26
W:W25,27,28,32,33,36,38,42,43:B2,8,12,14,17,18,19,30,34	43-39	?	deel15:p26
B:W22,23,24,29,32,40,42,44,49:B2,4,11,12,13,15,20,25,26	25-30	!	deel15:p27
B:W22,25,29,32,35,40,42,44,49:B2,4,11,12,15,26	15-20	!	deel15:p27
B:W26,27,29,33,34,35,39,40,41,43,44,45,49:B3,8,9,10,11,13,14,15,16,18,20,24,25	8-12	?	deel15:p28
B:W26,27,29,33,34,35,39,40,41,43,44,45,49:B3,8,9,10,11,13,14,15,16,18,20,24,25	11-17	?	deel15:p28
B:W21,25,27,28,30,32,35,36,38,42,49:B6,8,11,13,14,15,16,18,19,23,29	14-20	!	deel15:p29
W:W16,25,26,28,30,31,32,35,36,38,43:B6,12,13,14,15,17,19,22,23,29	26-21	!	deel15:p29
W:W16,21,25,30,31,32,35,36,43:B6,12,13,14,15,17,19,23,29,42	25-20	!	deel15:p29
B:W26,28,29,31,33,34,35,38,39,40,44,45:B9,12,13,14,15,17,19,20,21,22,24,25	21-27	?	deel15:p29
B:W26,28,29,31,32,33,34,35,39,40,44,45:B9,13,14,15,17,18,19,20,21,22,24,25	18-23	!	deel15:p29
W:W23,24,28,29,31,34,37,38,39,41,44,47,50:B2,5,6,8,10,12,13,15,16,17,20,21,25	47-42	!	deel15:p31
W:W23,24,28,29,31,34,37,38,39,41,44,47,50:B2,5,6,8,10,12,13,15,16,17,20,21,25	37-32	?	deel15:p31
W:W23,24,28,29,31,34,37,38,39,41,44,47,50:B2,5,6,8,10,12,13,15,16,17,20,21,25	39-33	?	deel15:p31
B:W23,24,28,29,31,33,34,37,38,41,44,47,50:B2,5,6,8,10,12,13,15,16,17,20,21,25	17-22	!	deel15:p31
W:W23,26,31,37,41,44,47,50:B2,5,6,12,13,14,15,16	41-36	!	deel15:p31
W:W23,26,27,31,33,36,39,50:B11,12,14,16,17,18,24,25	33-28	?	deel15:p31
W:W23,26,27,31,33,36,39,50:B11,12,14,16,17,18,24,25	33-29	!	deel15:p31
W:W27,28,31,32,33,34,35,36,38,39,40,43,45,48:B2,3,6,9,12,13,14,15,16,17,18,19,24,25	27-22	!	deel15:p32
B:W11,28,32,33,34,35,36,38,39,40,43,45,48:B2,3,6,9,12,13,14,15,16,19,24,25	6x17	?	deel15:p32
B:W27,28,30,32,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,11,12,13,15,16,18,19,20,23,26	5-10	?	deel15:p32
W:W27,28,30,32,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,6,7,8,9,10,11,12,13,15,16,18,19,20,23,26	30-24	!	deel15:p32
B:W26,27,28,31,32,33,34,35,36,38,40,42,45,48:B1,3,8,11,12,13,15,16,17,18,19,23,24,25	24-30	?	deel15:p33
W:W31,33,34,37,38:B15,22,24,26,27	33-28	!	deel15:p35
W:W24,25,30,35,36,37,38,42,43:B3,13,14,15,17,19,21,22,23	37-32	?	deel15:p55
B:W24,25,30,32,35,36,38,42,43:B3,13,14,15,17,19,21,22,23	21-27	!	deel15:p55
W:W25,26,28,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,22,27	34-29	?	deel15:p55
W:W24,25,33,34,35,36,37,38,42,43,45:B3,6,7,9,11,13,14,15,18,26,27	34-30	?	deel15:p55
B:W27,30,32,33,34,35,37,38,40,41,42,43,45,48:B6,9,11,13,14,15,16,17,18,19,20,23,24,25	24-29	!	deel15:p55
W:W24,25,31,32,33,35,36,37,38,39,42,48:B4,6,7,9,12,13,14,15,16,17,22,26	32-28	?	deel15:p55
W:W24,31,32,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,5,6,7,8,9,11,12,13,15,16,17,20,23,25	39-33	?	deel15:p55
B:W13,24,34,36,37,38,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,5,6,7,8,9,11,15,25	8x50	!	deel15:p55
W:W23,24,29,30,33,35,36,38,43,45:B2,3,4,12,13,15,16,20,22,26	30-25	?	deel15:p55
B:W26,31,33,34,35,36,37,39,40,41,42,43,45,47,49:B2,6,7,8,9,11,12,13,15,18,19,22,23,25,27	9-14	?	deel15:p55
W:W27,28,29,32,33,35,37,38,39,44,47:B6,8,9,11,13,15,16,19,20,25,26	29-24	?	deel15:p56
B:W27,32,33,39,40,44,47,48,49:B1,10,12,14,16,19,25,30	12-18	?	deel15:p56
B:W19,29,37,38,39,42,43,45,46,47,48,49,50:B1,2,6,7,8,9,10,11,12,15,16,36	12-18	?	deel15:p56
B:W15,24,27,32,35,36,37,38,41,42,43,44,45,48,50:B2,3,4,7,8,11,12,13,14,16,21,23,25,26	25-30	?	deel15:p56
B:W24,27,29,34,35,37,39,41,42,43,44,45,47,49:B2,6,8,10,11,12,13,15,16,18,20,23,25,26	12-17	?	deel15:p57
W:W29,32,33,34,36,37,39,41,44,45,48:B3,6,11,13,16,17,18,19,20,23,24	48-43	?	deel15:p57
B:W26,27,31,36,37,38,39,44:B6,9,11,13,16,17,23,30	23-29	?	deel15:p57
B:W27,29,30,31,33,34,35,36,39,40,41,42,44,45,48:B2,3,7,9,10,12,13,14,15,16,17,18,22,25,28	17-21	?	deel15:p57
W:W21,31,33,35,36,37,38,39,40,41,42,43,45,48,50:B1,2,3,4,6,8,9,10,11,12,13,14,18,19,24,32	37x28	?	deel15:p57
W:W26,28,31,33,34,36,38,40,42,44,48,49,50:B1,2,3,4,8,12,17,18,19,22,24,25,27	33-29	?	deel15:p57
B:W26,27,31,33,35,36,37,38,39,40,42,43,44,45,46,48,49,50:B1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,22,24	1-7	?	deel15:p57
B:W26,28,29,31,32,33,36,38,39,42,45,48,49:B3,6,7,9,11,12,13,16,17,19,22,25,35	9-14	?	deel15:p57
B:W26,28,29,31,32,33,36,38,39,42,45,48,49:B3,6,7,9,11,12,13,16,17,19,22,25,35	19-24	?	deel15:p57
B:W26,27,30,31,35,36,38,39,40,41,42,43,44,45,47,48,49,50:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	12-18	?	deel15:p57
B:W23,32,36,38,39,40,41,42,44,45,48,50:B1,2,6,8,9,12,13,15,16,24,26	9-14	?	deel15:p57
W:W25,29,31,35,37,42,44,45,46:B3,4,9,14,16,17,18,20,26	46-41	?	deel15:p57
B:W25,26,29,30,31,33,35,36,38,39,41,43,44,45,47,48,49:B2,3,4,6,7,8,9,12,13,14,15,17,18,20,22,27,28	18-23	?	deel15:p58
B:W27,28,30,32,34,41,48,49:B9,15,16,17,18,19,23	15-20	?	deel15:p58
W:W27,28,30,32,34,41,48,49:B9,16,17,18,19,20,23	27-21	!	deel15:p58
W:W28,29,33,34,35,38,40,41,45,48:B3,10,14,15,17,18,20,24,25,27	28-23	?	deel15:p58
W:W17,22,27,31,32,35,38,39,40,45:B2,6,8,11,13,15,23,24,25,29	39-34	?	deel15:p58
W:W22,27,30,31,32,33,35,36,37,38,41,42,43:B3,6,7,8,10,12,13,16,19,20,21,24,26	30-25	?	deel15:p58
B:W22,23,27,31,32,33,35,36,37,38,41,42,43:B3,6,7,8,12,13,15,16,21,24,26	24-30	!	deel15:p58
B:W15,26,27,32,33,36,37,38,40,44,48,50:B2,4,6,7,8,12,13,14,16,19,23,35	19-24	?	deel15:p58
B:W27,29,31,32,33,36,37,38,39,40,43,45,47,48,49:B2,3,6,8,9,10,13,15,16,18,20,21,24,25,26	8-12	?	deel15:p59
W:W27,29,31,32,33,36,37,38,39,40,43,45,47,48,49:B2,3,6,9,10,12,13,15,16,18,20,21,24,25,26	32-28	!	deel15:p59
B:W17,31,33,36,37,38,40,43,45,47,48,49:B2,3,6,9,10,15,16,18,20,25,26	16-21	?	deel15:p59
W:W26,27,29,30,34,38,39,41,42,43,44,48:B2,3,6,8,10,11,17,18,19,20,23,25	44-40	?	deel15:p59
B:W15,26,34,36,41,43,47,48,49:B4,7,12,16,17,21,23,27,28	12-18	?	deel15:p59
W:W26,30,31,33,36,37,39,42,43,44,47,49:B4,6,10,11,12,13,15,16,17,22,23,27	44-40	?	deel15:p59
W:W27,28,32,33,34,35,36,37,38,39,40,42,45,48:B2,6,7,9,12,13,14,15,16,17,18,19,24,25	48-43	?	deel15:p59
W:W25,33,34,35,36,37,38,39,43,44:B3,7,9,12,13,14,15,20,26,27	37-32	?	deel15:p59
W:W16,21,25,26,30,33,34,35,36,38,43,48,49:B2,3,4,7,9,10,12,13,14,17,18,19,24	48-42	?	deel15:p59
W:W21,25,26,28,31,36,38,39,40,43:B6,8,9,12,13,14,17,19,24,29	31-27	?	deel15:p60
W:W25,28,31,32,33,36,37,38,39,40,41,42,43,45,47,48,49:B2,3,4,6,7,8,9,11,13,14,15,16,19,20,21,23,26	31-27	?	deel15:p60
W:W25,26,29,31,33,34,35,36,38,39,40,41,43,45,46,47,49:B2,3,4,6,7,8,9,11,12,13,14,17,18,20,22,23,27	34-30	!	deel15:p60
B:W25,26,30,31,32,36,37,39,40,42,43,44,45,47,48,49,50:B1,2,3,4,6,8,9,11,13,14,15,16,17,18,20,23,28	13-19	?	deel15:p60
W:W25,28,31,32,33,34,35,36,37,38,39,40,42,43,45,47,48,49:B2,3,4,5,6,8,9,10,11,12,13,14,15,16,18,21,24,26	31-27	?	deel15:p60
B:W15,27,28,32,34,36,37,38,39,40:B5,8,9,12,13,16,18,19,23,24,26	9-14	!	deel15:p61
W:W15,27,28,32,34,36,37,38,39,40:B5,8,12,13,14,16,18,19,23,24,26	15-10	?	deel15:p61
B:W10,27,28,32,34,36,37,38,39,40:B5,8,12,13,14,16,18,19,23,24,26	24-30	!	deel15:p61
W:W26,28,31,33,34,35,36,37,38,39,42,43,44,45,47,48,49,50:B2,3,4,5,6,7,8,9,10,11,12,14,17,18,19,22,24,27	37-32	!	deel15:p61
W:W24,25,29,33,34,36,37,38,39,40,43,45,48:B3,5,6,9,10,13,14,15,18,20,22,26,27	34-30	?	deel15:p61
B:W24,29,31,36,37,38,39,41,43,45,46,48,49:B2,3,7,8,10,13,15,16,17,18,22,26,27	10-14	?	deel15:p61
W:W24,29,31,36,37,38,39,41,43,45,46,48,49:B2,3,7,8,13,14,15,16,17,18,22,26,27	37-32	!	deel15:p61
W:W26,27,28,32,33,35,39,40,43,45:B9,11,12,13,16,17,18,19,24,30	40-34	?	deel15:p61
W:W27,28,31,32,34,35,36,38,39,40,41,42,45,46,48,49:B2,6,7,8,9,10,12,13,14,15,16,18,19,21,23,29	41-37	?	deel15:p62
B:W25,26,30,33,35,37,40,41,42,45,47:B3,4,6,8,9,11,12,14,15,16,19	19-23	?	deel15:p62
B:W15,29,34,36,37,38,39,43,47,49:B2,4,6,8,11,13,18,19,25,27	11-17	?	deel15:p62
W:W22,26,27,33,35,36,37,38,40,43,45,48:B1,3,4,6,11,12,14,16,20,24,25,29	43-39	?	deel15:p62
B:W16,26,28,29,35,37,38,43,45,47,48,49:B1,3,7,8,9,11,12,13,14,15,17,36	17-21	!	deel15:p62
W:W19,27,29,32,33,34,42,43,44,45,47,48,49:B2,3,4,6,8,9,15,16,17,18,25,26,35	47-41	?	deel15:p63
B:W22,26,27,31,34,36,38,39,40,41,42,43,44,45,48,50:B2,6,7,8,10,11,12,13,14,15,16,18,19,20,23,29	12-17	?	deel15:p63
B:W15,25,29,30,32,33,34,37,41,42,47,48,49:B3,4,7,9,12,13,14,18,19,22,23,26,36	22-27	?	deel15:p63
W:W15,25,29,30,33,34,37,41,42,47,48,49:B3,4,7,9,12,13,14,17,18,19,23,36	30-24	!	deel15:p63
B:W22,23,28,32,33,34,37,39,43,45,48:B3,9,12,13,15,16,20,21,25,26,30	21-27	?	deel15:p63
W:W27,30,32,33,34,35,37,38,40,41,42,43,45,48:B6,9,11,13,14,15,16,17,18,19,20,23,24,25	43-39	?	deel15:p64
W:W6,15,28,29,30,37,42,47,48:B1,4,7,13,14,18,26,31,36	37-32	?	deel15:p64
W:W27,32,33,35,37,38,40,41,42,45,47,48,49:B2,3,4,6,8,10,11,12,13,16,18,23,24	49-44	?	deel15:p64
W:W25,28,31,32,33,34,35,36,38,39,42,43,44,45,47,48,49:B1,2,3,4,8,9,11,12,13,14,15,16,17,19,20,21,23	34-29	?	deel15:p64
B:W10,25,30,31,32,33,35,36,38,42,43,44,45,47,48,49:B1,2,3,4,8,9,11,12,13,15,16,17,20,21	21-26	!	deel15:p64
W:W25,27,28,32,33,35,37,38,39,40,41,42,43,44,45,47,48,49,50:B1,2,3,4,5,7,8,9,10,11,13,14,15,16,18,19,20,21,26	27-22	?	deel15:p64
B:W22,28,32,33,35,36,38,40,42,43,45:B8,11,12,13,14,15,16,19,23,24,25	11-17	?	deel15:p65
B:W21,26,28,33,38,43,44,45,48:B4,8,9,11,12,13,19,20,30	12-18	?	deel15:p65
W:W21,26,28,33,38,43,44,45,48:B4,8,9,11,13,18,19,20,30	21-16	!	deel15:p65
W:W21,26,28,33,38,43,44,45,48:B4,8,9,11,12,18,19,20,30	21-17	!	deel15:p65
W:W21,26,28,33,38,43,44,45,48:B4,8,9,11,12,18,19,20,30	28-22	?	deel15:p65
B:W26,28,32,33,34,38,39,40,41,42,48:B3,7,9,10,11,12,13,14,17,18,21	11-16	?	deel15:p65
W:W26,28,32,33,34,38,39,40,41,42,48:B3,7,9,10,12,13,14,16,17,18,21	28-22	!	deel15:p65
B:W25,26,31,32,33,35,36,39,43,45,47,48,49:B3,4,6,7,8,9,13,14,15,16,20,22,23	14-19	?	deel15:p65
B:W25,28,29,33,34,36,38,39,41,42,47,48,49,50:B1,2,3,6,8,9,11,12,14,16,18,19,26,35	9-13	?	deel15:p66
B:W26,27,30,32,33,35,36,38,42,43:B1,3,8,9,13,16,17,19,23,24	13-18	?	deel15:p66
W:W26,35,36,38,42,43:B1,3,8,20,24,25	38-33	!	deel15:p66
B:W15,27,32,34,38,39,42,44,45,48,49:B3,4,6,8,13,14,16,18,19,23,35	8-12	?	deel15:p66
B:W20,31,33,36,37,38,42,43,44,48,50:B3,6,8,9,15,16,22,23,24,26,29	16-21	?	deel15:p66
B:W21,23,28,36,37,38,39,40,43,44,47,48:B2,4,9,10,12,13,14,17,19,25,26,35	19-24	?	deel15:p67
W:W24,25,27,28,31,32,33,35,37,41,46:B6,10,11,12,13,15,16,18,19,21,26	27-22	?	deel15:p67
W:W31,32,35,40,41,42,43,48,49,50:B2,3,4,8,11,13,17,18,23,24	40-34	?	deel15:p67
B:W12,21,31,35,41,42,43,48,49,50:B2,3,4,8,11	8x46	!	deel15:p67
W:W16,31,34,35,36,37,39,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,24,25	37-32	?	deel15:p67
B:W24,27,28,30,32,37,38,39,40,47:B1,7,9,11,13,14,15,16,19,26	15-20	!	deel15:p69
W:W22,25,27,28,32,33,34,35,37,38,40,45,50:B6,8,9,10,11,13,14,15,16,19,23,24,26	25-20	!	deel15:p69
W:W32,37,38,45,50:B6,8,9,10,11,13,17,26,27,34,35	32x5	!	deel15:p69
W:W24,28,29,32,34,36,37,39,41,42,43,44,45,47:B2,3,6,7,8,10,11,12,13,15,19,20,25,26	29-23	!	deel15:p70
W:W35,37,43,45,48,49:B5,6,7,8,9,13,16,19,21,24,28,34,38	43x1	!!	deel15:p71
B:W25,26,29,31,33,34,35,36,37,38,39,41,43,47,49:B3,4,5,6,9,11,12,13,15,16,17,18,22,23,27	4-10	?	deel15:p71
W:W26,28,32,33,34,35,36,37,38,39,42,43,45:B6,7,8,9,10,11,13,16,17,19,21,23,24,27	36-31	!	deel15:p71
B:WK1,K3,35,37,38,42,45:BK48,6,10,16,36	48-25	?	deel15:p71
W:W25,26,33,34,35,36,37,38,41,42,43,44,45,48,50:B3,4,6,7,9,11,12,14,15,18,19,20,22,23,27	37-31	?	deel15:p72
B:W25,26,30,33,34,36,37,38,41,42,43,44,45,48,50:B3,4,6,7,9,11,12,14,15,18,19,20,22,23,27	20-24	?	deel15:p72
W:W26,31,33,34,35,36,38,39,40,42,43,44,45:B2,11,12,13,14,15,17,18,20,22,23,25,27	26-21	!	deel15:p72
W:W24,25,26,27,31,34,37,41,42,45,48:B2,4,6,8,11,12,14,15,16,17,23	48-43	?	deel15:p73
W:W24,25,26,27,31,34,37,41,42,45,48:B2,4,6,8,11,12,14,15,16,17,23	26-21	!	deel15:p73
W:W25,33,35,37,38,39,40,42,45:B3,12,13,14,15,19,23,24,26,27	33-28	!	deel15:p74
B:W25,31,32,34,35,37,39,40,42,43,45,46,47,48,49:B2,4,6,7,8,9,10,11,13,16,19,23,24,26,28	10-14	?	deel15:p74
W:W31,32,37,42,45,46,47,48:B2,6,7,8,10,11,13,16,19,26,28	32x5	!	deel15:p74
B:W26,27,28,31,32,34,35,37,38,39,40,42,43,44,45,46,47,48,49:B2,3,4,6,7,8,9,10,11,12,14,15,16,17,18,19,21,23,24	15-20	?	deel15:p74
W:W24,26,30,31,35,36,37,38,40,41,42,43,45,47:B2,3,4,6,8,11,12,13,15,17,19,22,23,27	37-32	?	deel15:p74
B:W24,26,30,31,32,35,36,38,40,41,42,43,45,47:B2,3,4,6,8,11,12,13,15,17,19,22,23,27	22-28	!	deel15:p74
B:W22,26,30,32,33,35,36,38,40,41,42,43,45,47:B2,3,4,6,8,11,12,15,17,23	17x46	!	deel15:p74
B:W25,27,28,32,35,36,39,40,42,43,44,45,46,47,48,49,50:B2,3,4,5,6,7,8,10,12,13,14,16,17,18,19,23,24	7-11	?	deel15:p79
B:W25,27,28,32,33,35,37,38,39,44,45,47,48:B6,7,8,12,13,14,15,16,17,18,19,23,24	16-21	?	deel15:p79
B:W24,27,29,31,32,34,37,39,40,43,44,45,49:B4,6,7,8,9,10,13,14,15,18,22,25,26	14-19	?	deel15:p79
W:W25,27,28,32,35,37,38,39,40,41,43,45,47,48,49,50:B3,4,6,7,8,9,12,13,14,15,16,17,18,19,23,29	39-33	?	deel15:p79
B:W21,26,28,30,32,33,35,38,43:B6,7,8,12,13,14,19,23,24	7-11	?	deel15:p79
B:W20,24,26,30,35,36,42,47,48:B8,13,15,16,17,19,22,23,27	8-12	?	deel15:p79
B:W26,31,33,34,36,38,43,45,47,49:B5,6,10,12,13,16,18,19,22,25	19-23	?	deel15:p79
W:W28,33,34,35,36,38,39,40,42,44,48:B2,3,4,8,9,12,13,16,24,25,26	34-29	?	deel15:p79
W:W27,28,30,34,35,38,41,44,45,48:B2,5,8,9,16,17,18,19,24,25	41-37	?	deel15:p79
W:W24,27,28,32,33,34,37,39,44,48:B4,6,9,11,13,14,16,18,21,26	28-22	?	deel15:p80
B:W17,22,24,27,32,33,34,39,44,48:B4,6,9,11,13,14,16,18	16-21	!	deel15:p80
B:W25,27,28,32,33,35,37,38,39,44,45,47,48:B6,7,8,12,13,14,15,16,17,18,19,23,24	7-11	?	deel15:p80
W:W26,29,32,33,37,38,43,45,47,49:B2,3,5,9,12,16,17,18,19,36	33-28	?	deel15:p80
W:W27,29,31,32,33,34,35,36,39,42,43,44,45,49:B3,6,7,8,10,12,13,15,18,19,20,22,24,25	33-28	?	deel15:p80
B:W15,26,29,33,34,35,36,38,39,42,47,48,49:B2,4,6,11,12,13,14,18,19,22,25,27,28	19-23	?	deel15:p80
B:W25,27,28,32,34,35,37,38:B7,8,9,14,19,20,23,26	20-24	?	deel15:p81
W:W16,25,32,33,35,37,38,39,45:B3,7,9,12,13,14,15,17,23	32-27	?	deel15:p81
B:W27,28,30,31,32,33,35,36,38,42,43:B3,6,11,12,13,14,16,18,19,23,24	12-17	?	deel15:p81
B:W28,32,33,34,35,37,38,42,43,47,49:B3,10,11,12,13,17,18,22,24,26,36	24-29	?	deel15:p81
W:W28,32,33,34,35,37,38,42,43,47,49:B3,10,11,12,13,17,18,22,26,29,36	33x24	?	deel15:p81
W:W23,24,26,29,33,34,35,36,40,45:B5,7,8,9,12,15,17,20,25,27	34-30	!	deel15:p81
W:W23,24,26,29,33,35,36,40,45:B5,7,8,9,12,15,17,20,27,34	23-19	!	deel15:p81
W:W24,26,33,35,36,40,45:B5,7,8,9,12,14,15,17,20,27	36-31	!	deel15:p81
W:W26,29,30,31,33,34,35,36,37,38,39,40,43,45,48:B2,8,9,11,12,13,15,16,17,18,19,20,22,23,25	30-24	?	deel15:p82
B:W24,26,29,31,33,34,36,37,38,39,40,43,45,48:B2,8,9,11,12,13,15,16,17,18,20,22,23,25	22-27	!	deel15:p82
B:W25,28,29,30,33,35,37,38,39,40,41,47:B2,3,8,13,14,15,16,17,19,20,22,26	20-24	!	deel15:p83
W:W26,31,32,33,35,36,37,38,43,44,45,46,48,50:B2,4,5,6,11,12,13,14,17,18,19,21,22,27,34	33-28	!	deel15:p83
W:W27,32,33,34,35,37,38,39,40,43,45:B8,9,12,13,15,16,18,19,24,25,26	34-29	!	deel15:p88
W:W32,35,36,37,38,42,48:BK31,2,3,6,11,12,13,16,18,20,21,24,34	37x39	!	deel15:p88
W:W24,26,29,30,33,34,36,37,38,39,40,41,47,49:B2,3,6,7,8,11,12,13,14,15,18,19,20,25	49-43	?	deel15:p88
B:W15,27,28,32,34,35,36,37,38,39:B5,8,12,13,14,16,18,19,23,24,26	23-29	!	deel15:p94
B:W15,27,28,32,34,35,36,37,38,39:B5,8,12,13,14,16,18,19,23,24,26	14-20	?	deel15:p94
B:W22,27,28,32,35,36,37,38,39,42,44,45,47,48,50:B2,3,6,7,8,9,10,11,12,13,15,16,20,24,25	12-17	?!	deel15:p94
W:W22,27,28,32,35,36,37,38,39,42,44,45,47,48,50:B2,3,6,7,8,9,10,11,13,15,16,17,20,24,25	27-21	?	deel15:p94
B:WK30,35,36,37,38,39,42,44,45,47,48,50:B3,6,8,11,13,15,20,25	25x41	!	deel15:p94
W:W23,28,33,36,38,39,41,42,44,49,50:B2,4,11,12,14,15,21,24,25,26,27	41-37	?	deel15:p95
B:W23,28,33,36,37,38,39,42,44,49,50:B2,4,11,12,14,15,21,24,25,26,27	12-18	!	deel15:p95
W:W23,24,28,29,33,40,41,42,43:B2,4,11,12,13,15,20,25,26	28-22	?	deel15:p95
B:W22,23,24,29,33,40,41,42,43:B2,4,11,12,13,15,20,25,26	25-30	!	deel15:p95
B:W22,23,29,33,35,40,41,42,43:B2,4,11,12,13,15,20,26	13-19	!	deel15:p95
W:W25,27,28,32,37,38,39,40,45,48:B12,13,14,15,16,18,19,23,24,26	27-22	!	deel16:p37
W:W25,27,32,34,37,39,40,45,48:B13,14,15,16,18,20,22,26	27-21	!	deel16:p37
W:WK2,25,32,37,38,40,42,48:B14,15,16,18,21,26,31,39	2-11	!	deel16:p38
B:W23,34,37,38,42,48:B11,14,16,21,26,27	11-17	?	deel16:p39
W:W23,33,34,38,48:B14,16,17,21,26,42	48x37	?	deel16:p40
W:WK10,23,33,47,48:B16,17,25,36,41	33-29	!	deel16:p41
W:W28,31,33,34,38,39,40,47:B9,13,15,16,17,20,21,25	28-22	!	deel16:p42
B:W22,27,28,32,34,37,39,40:B9,15,16,21,23,24,25,26	24-30	?	deel16:p43
W:W19,22,27,32,34,37,39,40:B9,15,16,21,25,26,35	37-31	!	deel16:p43
W:W20,26,27,32,37,39,40,41,42,43,44,47,48,49,50:B2,3,6,8,9,10,11,12,13,14,16,17,18,21,25	20-15	?	deel16:p44
B:W15,26,27,32,37,39,40,41,42,43,44,47,48,49,50:B2,3,6,8,9,10,11,12,13,14,16,17,18,21,25	18-23	!	deel16:p44
B:W26,32,39,40,41,42,43,44,47,48,49,50:B2,3,6,8,12,14,16,23,25,28	28x46	!	deel16:p44
W:W20,27,30,32,33,34,35,37,39,40,41,42,47:B1,3,5,9,12,13,14,16,19,21,23,25,26	20-15	?	deel16:p45
W:W20,27,30,32,33,34,35,37,39,40,41,42,47:B1,3,5,9,13,14,16,17,19,21,23,25,26	33-29	?	deel16:p45
B:W20,24,27,30,32,34,35,37,39,40,41,42,47:B1,3,5,9,12,13,14,16,19,21,25,26	5-10	!!	deel16:p45
W:W20,24,27,30,32,34,35,37,39,40,41,42,47:B1,3,9,10,12,13,14,16,19,21,25,26	20-15	?	deel16:p45
B:W20,24,27,30,32,33,34,35,37,40,41,42,47:B1,3,9,10,12,13,14,16,19,21,25,26	10-15	?	deel16:p45
B:W15,33,35,36,37,42,44,45:B6,8,9,10,11,13,14,16,17,19,25	13-18	!	deel16:p48
B:WK2,33,35,36,37,42,44,45:B6,11,14,16,17,18,19,25	25-30	!	deel16:p48
B:WK2,33,35,36,37,42,44,45:B6,11,14,16,17,18,19,25	19-24	?	deel16:p48
B:WK3,23,31,32,33:B12,22,24,25	24-29	!	deel16:p48
B:W13,26,32:B12,14,22	22-27	!	deel16:p49
B:W20,23,31,33,38,40:B4,9,12,14,22,25	4-10	?	deel16:p49
B:W20,27,32,33,37,38,40,41,42,43,48:B1,6,8,9,10,12,13,14,16,23,25	23-29	!	deel16:p49
W:W20,24,27,32,37,38,39,40,41,42,43,44,45,47,49:B2,3,5,6,9,10,11,12,13,14,16,17,21,25,31	37x26	?	deel16:p50
B:W20,24,26,27,32,38,39,40,41,42,43,44,45,47,49:B2,3,5,6,9,10,11,12,13,14,16,17,21,25	13-19	!	deel16:p50
W:W20,24,27,32,37,38,39,40,41,42,43,44,45,47,49:B2,3,5,6,9,10,11,12,13,14,16,17,21,25,26	32-28	!	deel16:p50
B:W20,31,32,33,36,38,45,46,48,49:B1,2,4,6,7,8,9,11,12,13,14,21,25	4-10	!	deel16:p51
W:W20,33,35,36,37,38,39,40,41,43,44,47,48,49,50:B1,2,4,6,8,9,12,13,14,16,18,22,25,26,28	38-32	?	deel16:p51
B:W22,26,27,30,31,33,35,42,43,44,47,49:B3,8,11,13,15,16,18,19,20,23,24,36	23-28	?	deel16:p54
W:W22,25,26,27,30,31,35,39,42,43,44,47,49:B3,9,11,12,13,14,15,16,18,19,23,24,36	22-17	!	deel16:p54
B:W15,27,28,31,32,33,35,36,37,38,39,40,42,43,45:B4,6,7,8,9,11,12,13,14,16,20,24,25,26,29	25-30	!	deel16:p57
B:W15,25,27,28,31,32,33,35,36,37,38,39,42,43:B4,6,7,8,9,11,12,13,14,16,20,24,26	12-17	!	deel16:p57
W:W15,27,28,31,32,33,35,36,37,38,39,40,42,43,45:B4,6,7,8,9,11,12,13,14,16,20,24,25,26,29	39-34	?	deel16:p58
B:W15,22,28,31,32,33,35,36,37,38,39,40,42,45:B4,6,7,8,9,11,14,16,17,20,24,25,26,29	4-10	!	deel16:p58
B:W15,22,28,31,32,35,36,37,38,40,42,45:B6,7,11,14,16,21,26,43	21-27	!	deel16:p58
W:W22,25,26,27,32,35,37,39,40,43,44,47,48,49,50:B3,4,5,6,7,9,11,13,14,15,16,19,23,24,36	37-31	?	deel16:p58
B:W22,25,26,27,31,32,35,39,40,43,44,47,48,49,50:B3,4,5,6,7,9,11,13,14,15,16,19,23,24,36	23-28	!	deel16:p58
W:W26,30,31,34,35,36,38,39,43,44,45,48,49:B3,5,6,10,13,18,19,20,22,23,24,25,27	48-42	!	deel16:p59
B:W27,30,33,34,35,39,42,43,44,45,49:B3,5,6,13,15,16,18,19,20,24,25,28	16-21	!	deel16:p59
